title,authors,affiliations,keywords,abstract,venue,year,pages,length,citations,url
Augmenting LOD-Based Recommender Systems Using Graph Centrality Measures,Bart van Rossum & Flavius Frasincar,"Erasmus University Rotterdam, PO Box 1738, 3000 DR, Rotterdam, The Netherlands",Top-N recommendations; Linked Open Data; Information network schema; Random forest,"In this paper we investigate the incorporation of graph-based features into LOD path-based recommender systems, an approach that so far has received little attention. More specifically, we propose two normalisation procedures that adjust user-item path counts by the degree centrality of the nodes connecting them. Evaluation on the MovieLens 1M dataset shows that the linear normalisation approach yields a significant increase in recommendation accuracy as compared to the default case, especially in settings where the most popular movies are omitted. These results serve as a fruitful base for further incorporation of graph measures into recommender systems, and might help in establishing the recommendation diversity that has recently gained much attention.",International Conference on Web Engineering,2019,19-31,13,7,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_2
Domain Classifier: Compromised Machines Versus Malicious Registrations,"Sophie Le Page, Guy-Vincent Jourdan & Gregor V. Bochmann; Iosif-Viorel Onut; Jason Flood","Faculty of Engineering, University of Ottawa, Ottawa, Canada; IBM Centre for Advanced Studies, Ottawa, Canada; IBM Security Data Matrices, Dublin, Ireland",Phishing attacks; Machine learning; Compromised domains; Malicious domains,"In “phishing attacks”, phishing websites disguised as trustworthy websites attempt to steal sensitive information. Remediation and mitigation options differ depending on whether the phishing website is hosted on a legitimate but compromised domain, in which case the domain owner is also a victim, or whether the domain itself is maliciously registered. We accordingly attempt to tackle here the important question of classifying known phishing sites as either compromised or maliciously registered. Following the recent adoption of GDPR standards now putting off-limits any personal data, few relevant literature criteria still satisfy those standards. We propose here a machine-learning based domain classifier, introducing nine novel features which exploit the internet presence and history of a domain, using only publicly available information. Evaluation of our domain classifier was performed with a corpus of phishing websites hosted on over 1,000 compromised domains and 10,000 malicious domains. In the randomized evaluation, our domain classifier achieved over 92% accuracy with under 8% false positive rate, with compromised cases as the positive class. We have also collected over 180,000 phishing website instances over the past 3 years. Using our classifier we show that 73% of the websites hosting attacks are compromised while the remaining 27% belong to the attackers.",International Conference on Web Engineering,2019,265-279,15,24,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_20
The “Game Hack” Scam,"Emad Badawi, Guy-Vincent Jourdan & Gregor Bochmann; Iosif-Viorel Onut; Jason Flood","Faculty of Engineering, University of Ottawa, Ottawa, Canada; IBM Centre for Advanced Studies, Ottawa, Canada; IBM Security Data Matrices, Dublin, Ireland",Game scam; Scam analysis; Fraud detection; Cyberattack,"Game Hack Scam (GHS) is a cyberattack in which the attacker attempts to convince the victim, often a child or a young adult, that they will be provided with free, unlimited resources or other advantages for their favorite game. To obtain these claimed advantages, the victims are asked to complete one or more tasks, called “offers”. These so-called offers include, but are not limited to, subscriptions to questionable services and installation of executable files on the victim’s device. Although recent research has provided important insights into different types of scam such as “Technical Support Scam”, “Survey Scam”, and “Romance Scam”, to the best of our knowledge GHS has not been studied up to now.",International Conference on Web Engineering,2019,280-295,16,14,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_21
Decentralized Service Registry and Discovery in P2P Networks Using Blockchain Technology,"Peter de Lange, Tom Janson & Ralf Klamma","RWTH Aachen University, Lehrstuhl Informatik 5, Ahornstr. 55, 52074, Aachen, Germany",Service discovery; Decentralization; Microservices; Blockchain,"Decentralized information systems radically change the power dynamics of the Web by establishing participants as equal peers, which form a self-governing community. However, decentralized infrastructures currently do not offer a way for users to easily explore available services in the network, nor the ability to securely verify their origin and history. In this contribution, we approach these challenges by exploiting the tamper-proofness of blockchain technology to build a decentralized service registry and discovery system for an existing decentralized microservice infrastructure. With this, users are able to find services in a network and are also able to verify their integrity and origin. Our first evaluations show promising results with this kind of system in the domain of decentralized service provisioning, while also raising research questions for future research in this field.",International Conference on Web Engineering,2019,296-311,16,16,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_22
Jekyll RDF: Template-Based Linked Data Publication with Minimized Effort and Maximum Scalability,Natanael Arndt; Natanael Arndt & Sebastian Zänker; Gezim Sejdiu; Sebastian Tramp,"Institut für Angewandte Informatik e.V., Goerdelerring 9, 04109, Leipzig, Germany; eccenca GmbH, Hainstr. 8, 04109, Leipzig, Germany; AKSW, Leipzig University, Augustusplatz 10, 04109, Leipzig, Germany; Smart Data Analytics, University of Bonn, Endenicher Allee 19a, 53115, Bonn, Germany",Data visualization; Data publication; Static site generation; Content Management; Semantic templating; Linked Data,"Over the last decades the Web has evolved from a human–human communication network to a network of complex human–machine interactions. An increasing amount of data is available as Linked Data which allows machines to “understand” the data, but RDF is not meant to be understood by humans. With Jekyll RDF we present a method to close the gap between structured data and human accessible exploration interfaces by publishing RDF datasets as customizable static HTML sites. It consists of an RDF resource mapping system to serve the resources under their respective IRI, a template mapping based on schema classes, and a markup language to define templates to render customized resource pages. Using the template system, it is possible to create domain specific browsing interfaces for RDF data next to the Linked Data resources. This enables content management and knowledge management systems to serve datasets in a highly customizable, low effort, and scalable way to be consumed by machines as well as humans.",International Conference on Web Engineering,2019,331-346,16,7,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_24
Amalgam: Hardware Hacking for Web Developers with Style (Sheets),"Jorge Garza, Devon J. Merrill & Steven Swanson","Department of Computer Science and Engineering, University of California San Diego, San Diego, CA, USA",Rapid development; Embedded devices; IoT; Web user interface; CSS; HTML,"Web programming technologies such as HTML, JavaScript, and CSS have become a popular choice for user interface design due to their capabilities: flexible interface, first-class networking, and available libraries. In parallel, driven by the standards set by the mobile companies, embedded devices manufacturers now want to replicate these capabilities. As a result, embedded devices that use web technologies for their graphical interface have started to emerge. However, the programming effort required to integrate web technologies with embedded software hinders its adaption. In this paper, we introduce Amalgam, a system that facilitates the development of embedded devices that use web programming technologies. Amalgam does this by translating the physical interface of embedded hardware components found (e.g., a push button) directly into the HTML and CSS syntax. Our system reduces the programming effort required to develop new embedded devices that use web technologies, as well as adds new interesting capabilities to the design of these. We show Amalgam’s capabilities by exploring three embedded devices built using web programming technologies. Also, we demonstrate how Amalgam reduces programming effort by comparing two traditional approaches of building one of these devices against Amalgam. Results show our system reduces the lines of code required to integrate hardware elements into an embedded device application to a line of code per hardware component added to the device.",International Conference on Web Engineering,2019,315-330,16,1,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_23
On the Web Platform Cornucopia,Tommi Mikkonen; Cesare Pautasso; Kari Systä; Antero Taivalsaari,"USI, Lugano, Switzerland; Nokia Bell Labs, Tampere, Finland; Tampere University, Tampere, Finland; University of Helsinki, Helsinki, Finland",Web platform; Technology design space; Software engineering principles; Web Engineering; Progressive Web applications; HTML5,"The evolution of the Web browser has been organic, with new features introduced on a pragmatic basis rather than following a clear rational design. This evolution has resulted in a cornucopia of overlapping features and redundant choices for developing Web applications. These choices include multiple architecture and rendering models, different communication primitives and protocols, and a variety of local storage mechanisms. In this position paper we examine the underlying reasons for this historic evolution. We argue that without a sound engineering approach and some fundamental rethinking there will be a growing risk that the Web may no longer be a viable, open software platform in the long run.",International Conference on Web Engineering,2019,347-355,9,5,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_25
Linked USDL Extension for Cloud Services Description,"Hajer Nabli, Raoudha Ben Djemaa & Ikram Amous Ben Amor; Raoudha Ben Djemaa; Ikram Amous Ben Amor","Higher Institute of Computer Science and Multimedia of Sfax, University of Sfax, MIRACL, 3021, Sfax, Tunisia; National School of Electronics and Telecommunications of Sfax, University of Sfax, 3018, Sfax, Tunisia; Higher Institute of Computer Science and Communication Techniques of H. Sousse, University of Sousse, 4011, H. Sousse, Tunisia",Cloud service; Cloud service description ontology; Cloud characteristics; Linked USDL,"Cloud computing has become the most influential paradigm in recent years, both in industry and academia. A Cloud provider delivers Cloud services to businesses or individuals. However, each Cloud provider uses its own techniques to describe their Cloud services. It is therefore difficult to compare Cloud offers and then provide the appropriate service to the user. Especially that the Cloud services can provide the same functionalities, but they differ by their quality of service, price, Cloud characteristics, service credibility, and so on. The variety of these techniques is due to the lack of Cloud service description standardization. To deal with such issues, we propose in this paper a Cloud service description ontology that assists the Cloud service publication, discovery and selection processes. The proposed description will be extended from the Linked USDL language to describe Cloud services thanks to its expressiveness by covering four aspects namely technical, operational, business and semantic.",International Conference on Web Engineering,2019,359-373,15,6,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_26
Analyzing the Evolution of Linked Vocabularies,Mohammad Abdel-Qader; Mohammad Abdel-Qader & Iacopo Vagliano; Ansgar Scherp,"University of Essex, Colchester, UK; ZBW – Leibniz Information Centre for Economics, Kiel, Germany; Christian-Albrechts University, Kiel, Germany",,"Reusing terms results in a Network of Linked vOcabularies (NeLO), where the nodes are the vocabularies that use at least one term from some other vocabulary and thus depend on each other. These dependencies become a problem when vocabularies in the network change, e. g., when terms are deprecated or deleted. In these cases, all dependent vocabularies in the network need to be updated. So far, there has been no study that analyzes vocabulary changes in NeLO over time. To address this shortcoming, we compute the state of NeLO from the available versions of the vocabularies over 17 years. We analyze static parameters of NeLO such as its size, density, average degree, and the most important vocabularies at certain points in time. We further investigate how NeLO changes over time. Specifically, we measure the impact of a change in one vocabulary to others, how the reuse of terms changes, and the importance of vocabularies changes. Our analyses provide for the first time in-depth insights into the structure and evolution of NeLO. This study helps ontology engineers to identify shortcomings of the data modeling and to assess the dependencies implied with reusing a specific vocabulary.",International Conference on Web Engineering,2019,409-424,16,3,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_29
Merging Intelligent API Responses Using a Proportional Representation Approach,"Tomohiro Ohtake, Mohamed Abdelrazek & Rajesh Vasa; Alex Cummaudo; John Grundy","Faculty of Information Technology, Monash University, Caulfield, Australia; Faculty of Science, Engineering and Built Environment, Deakin University, Geelong, Australia; Applied Artificial Intelligence Institute, Deakin University, Geelong, Australia",Application programming interfaces; Web services; Data integration; Artificial intelligence; Supervised learning,"Intelligent APIs, such as Google Cloud Vision or Amazon Rekognition, are becoming evermore pervasive and easily accessible to developers to build applications. Because of the stochastic nature that machine learning entails and disparate datasets used in their training, the output from different APIs varies over time, with low reliability in some cases when compared against each other. Merging multiple unreliable API responses from multiple vendors may increase the reliability of the overall response, and thus the reliability of the intelligent end-product. We introduce a novel methodology – inspired by the proportional representation used in electoral systems – to merge outputs of different intelligent computer vision APIs provided by multiple vendors. Experiments show that our method outperforms both naive merge methods and traditional proportional representation methods by 0.015 F-measure.",International Conference on Web Engineering,2019,391-406,16,4,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_28
An Automatic Data Service Generation Approach for Cross-origin Datasets,"Yuanming Zhang, Langyou Huang, Jiawei Lu & Gang Xiao","Zhejiang University of Technology, Hangzhou, China",Data service; Service extraction; Service encapsulation; Service dependency graph; Cross-origin datasets,"As a unified data access model, data service has become a promising technique to integrate and share heterogeneous datasets. In order to publish overwhelming data on the web, it is a key to automatically extract and encapsulate data services from various datasets in cloud environment. In this paper, a novel data service generation approach for cross-origin datasets is proposed. An attribute dependency graph (ADG) is constructed by using inherent data dependency. Based on the ADG, an automatic data service extraction algorithm is implemented. The extracted atomic data services are further organized into another representation named data service dependency graph (DSDG). Then, a data service encapsulation framework, which includes an entity layer, a data access object layer and a service layer, is designed. Via a flexible RESTful service template, this framework can automatically encapsulate the extracted data services into the RESTful services which can be accessed by the exposed interfaces. In addition, a data service generation system has been developed. Experimental results show that the system has high efficiency and good quality for data service generation.",International Conference on Web Engineering,2019,374-390,17,0,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_27
ST-Sem: A Multimodal Method for Points-of-Interest Classification Using Street-Level Imagery,"Shahin Sharifi Noorian, Achilleas Psyllidis & Alessandro Bozzon","Delft University of Technology, Delft, The Netherlands",Points of Interest; Street-level imagery; Convolutional Neural Networks; Word embeddings; Semantic similarity,"Street-level imagery contains a variety of visual information about the facades of Points of Interest (POIs). In addition to general morphological features, signs on the facades of, primarily, business-related POIs could be a valuable source of information about the type and identity of a POI. Recent advancements in computer vision could leverage visual information from street-level imagery, and contribute to the classification of POIs. However, there is currently a gap in existing literature regarding the use of visual labels contained in street-level imagery, where their value as indicators of POI categories is assessed. This paper presents Scene-Text Semantics (ST-Sem), a novel method that leverages visual labels (e.g., texts, logos) from street-level imagery as complementary information for the categorization of business-related POIs. Contrary to existing methods that fuse visual and textual information at a feature-level, we propose a late fusion approach that combines visual and textual cues after resolving issues of incorrect digitization and semantic ambiguity of the retrieved textual components. Experiments on two existing and a newly-created datasets show that ST-Sem can outperform visual-only approaches by 80% and related multimodal approaches by 4%.",International Conference on Web Engineering,2019,32-46,15,12,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_3
Comparison Matrices of Semantic RESTful APIs Technologies,Antoine Cheron & Antoine Michel; Johann Bourcier & Olivier Barais,"FABERNOVEL, 46 rue Saint-Lazare, 75009, Paris, France; Univ Rennes, Inria, CNRS, IRISA, 263 Avenue General Leclerc, 35000, Rennes, France",Hateoas; Semantic REST; Comparison; Linked Data; Web,"Semantic RESTful APIs combine the power of the REST architectural style, the Semantic Web and Linked Data. They picture a world in which Web APIs are easier to browse and more meaningful for humans while also being machine-interpretable, turning them into platforms that developers and companies can build on. We counted 36 technologies that target building such APIs. As there is no one-size-fits-all technology, they have to be combined. This makes selecting the appropriate set of technologies to a specific context a difficult task for architects and developers. So, how the selection of such a set of technologies can be eased? In this paper we propose three comparison matrices of Semantic RESTful APIs enabling technologies. It is based on the analysis of the differences and commonalities between existing technologies. It intends to help developers and architects in making an informed decision on the technologies to use. It also highlights the limitations of state-of-the-art technologies from which open challenges are derived.",International Conference on Web Engineering,2019,425-440,16,6,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_30
Catch & Release: An Approach to Debugging Distributed Full-Stack JavaScript Applications,Kijin An & Eli Tilevich,"Software Innovations Lab, Virginia Tech, Blacksburg, USA",Full-stack JavaScript applications; Distributed computing; Debugging,"Localizing bugs in distributed applications is complicated by the potential presence of server/middleware misconfigurations and intermittent network connectivity. In this paper, we present a novel approach to localizing bugs in distributed web applications, targeting the important domain of full-stack JavaScript applications. The debugged application is first automatically refactored to create its semantically equivalent centralized version by gluing together the application’s client and server parts, thus separating the programmer-written code from configuration/environmental issues as suspected bug causes. The centralized version is then debugged to fix various bugs. Finally, based on the bug fixing changes of the centralized version, a patch is automatically generated to fix the original application source files. We show how our approach can be used to catch bugs that include performance bottlenecks and memory leaks. These results indicate that our debugging approach can facilitate the challenges of localizing and fixing bugs in web applications.",International Conference on Web Engineering,2019,459-473,15,12,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_32
Conversational Data Exploration,"Nicola Castaldo, Florian Daniel, Maristella Matera & Vittorio Zaccaria","Dipartimento di Elettronica Informazione e Bioingegneria, Politecnico di Milano, Piazza Leonardo da Vinci, 32, 20133, Milan, Italy",Chatbots for data exploration; Chatbot design; Conversational UIs,"This paper presents a framework for the design of chatbots for data exploration. With respect to conversational virtual assistants (such as Amazon Alexa or Apple Siri), this class of chatbots exploits structured input to retrieve data from known data sources. The approach is based on a conceptual representation of the available data sources, and on a set of modeling abstractions that allow designers to characterize the role that key data elements play in the user requests to be handled. Starting from the resulting specifications, the framework then generates a conversation for exploring the content exposed by the considered data sources.",International Conference on Web Engineering,2019,490-497,8,24,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_34
Dragon: Decision Tree Learning for Link Discovery,Daniel Obraczka; Axel-Cyrille Ngonga Ngomo,"University of Leipzig, 04109, Leipzig, Germany; University of Paderborn, 33098, Paderborn, Germany",Link discovery; Decision trees; Machine learning; Entity resolution; Semantic web,"The provision of links across RDF knowledge bases is regarded as fundamental to ensure that knowledge bases can be used joined to address real-world needs of applications. The growth of knowledge bases both with respect to their number and size demands the development of time-efficient and accurate approaches for the computation of such links. This is generally done with the aid of machine learning approaches, such as e.g. Decision Trees. While Decision Trees are known to be fast, they are generally outperformed in the link discovery task by the state-of-the-art in terms of quality, i.e. F-measure. In this work, we present Dragon, a fast decision-tree-based approach that is both efficient and accurate. Our approach was evaluated by comparing it with state-of-the-art link discovery approaches as well as the common decision-tree-learning approach J48. Our results suggest that our approach achieves state-of-the-art performance with respect to its F-measure while being 18 times faster on average than existing algorithms for link discovery on RDF knowledge bases. Furthermore, we investigate why Dragon significantly outperforms J48 in terms of link accuracy. We provide an open-source implementation of our algorithm in the LIMES framework.",International Conference on Web Engineering,2019,441-456,16,7,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_31
